,action,assignee,assignees_name,comments,event_created_at,issue_closed_at,issue_created_at,issue_id,labels_color,labels_name,mclose_created,mdue_created,milestone,milestone_closed_at,milestone_created_at,milestone_due_on,title,user
98,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",3,1485113689.0,1485440311.0,1484950343.0,22,[u'1d76db'],[u'Deliverables'],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Pre User-feedback Meeting notes,DevArenaCN
99,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",3,1485113689.0,1485440311.0,1484950343.0,22,[u'1d76db'],[u'Deliverables'],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Pre User-feedback Meeting notes,thegreyd
100,labeled,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",3,1485113685.0,1485440311.0,1484950343.0,22,[u'1d76db'],[u'Deliverables'],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Pre User-feedback Meeting notes,DevArenaCN
101,demilestoned,[],[],2,1485113675.0,1485441366.0,1484949813.0,20,[u'1d76db'],[u'Deliverables'],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Prepare specifics to be discussed during user-interviews,DevArenaCN
102,milestoned,[],[],2,1485113675.0,1485441366.0,1484949813.0,20,[u'1d76db'],[u'Deliverables'],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Prepare specifics to be discussed during user-interviews,DevArenaCN
103,labeled,[],[],2,1485113670.0,1485441366.0,1484949813.0,20,[u'1d76db'],[u'Deliverables'],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Prepare specifics to be discussed during user-interviews,DevArenaCN
104,demilestoned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",3,1485113659.0,1485440311.0,1484950343.0,22,[u'1d76db'],[u'Deliverables'],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Pre User-feedback Meeting notes,DevArenaCN
105,milestoned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",3,1485113659.0,1485440311.0,1484950343.0,22,[u'1d76db'],[u'Deliverables'],1532268.0,1425019.0,Prepare Deliverables,1485870449.0,1484338181.0,1485763200.0,Pre User-feedback Meeting notes,DevArenaCN
106,labeled,thegreyd,"[u'thegreyd', u'DevArenaCN']",18,1485112929.0,1485440426.0,1484949790.0,19,[u'1d76db'],[u'Deliverables'],1103300.0,992811.0,User/Problem Feedback,1485441689.0,1484338389.0,1485331200.0,Prepare Questionnaire for user-feedback,DevArenaCN
107,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN']",18,1485112922.0,1485440426.0,1484949790.0,19,[u'1d76db'],[u'Deliverables'],1103300.0,992811.0,User/Problem Feedback,1485441689.0,1484338389.0,1485331200.0,Prepare Questionnaire for user-feedback,DevArenaCN
108,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN']",18,1485112922.0,1485440426.0,1484949790.0,19,[u'1d76db'],[u'Deliverables'],1103300.0,992811.0,User/Problem Feedback,1485441689.0,1484338389.0,1485331200.0,Prepare Questionnaire for user-feedback,thegreyd
109,subscribed,thegreyd,"[u'thegreyd', u'DevArenaCN']",18,1485098780.0,1485440426.0,1484949790.0,19,[u'1d76db'],[u'Deliverables'],1103300.0,992811.0,User/Problem Feedback,1485441689.0,1484338389.0,1485331200.0,Prepare Questionnaire for user-feedback,DevArenaCN
110,mentioned,thegreyd,"[u'thegreyd', u'DevArenaCN']",18,1485098780.0,1485440426.0,1484949790.0,19,[u'1d76db'],[u'Deliverables'],1103300.0,992811.0,User/Problem Feedback,1485441689.0,1484338389.0,1485331200.0,Prepare Questionnaire for user-feedback,DevArenaCN
111,subscribed,thegreyd,"[u'thegreyd', u'DevArenaCN']",18,1485098780.0,1485440426.0,1484949790.0,19,[u'1d76db'],[u'Deliverables'],1103300.0,992811.0,User/Problem Feedback,1485441689.0,1484338389.0,1485331200.0,Prepare Questionnaire for user-feedback,thegreyd
