,author,date,message,sha
83,Siddharth Sharma,1488694131.0,"Merge pull request #66 from SE17GroupH/sid

Fix bugs, optimize and add config",037902966d3f1e995632d751cbb22d9f7ee8cd40
84,Siddharth Sharma,1488693962.0,add config file,d011dfb48ae503a908ae8672af229e0dfc49c97d
85,Siddharth Sharma,1488693939.0,add travis config,930b09e5e2e2b37ff1fe414f395cfd060d82bc3c
86,Siddharth Sharma,1488693920.0,Add travis config and license,6d19d2634fe6e7aede017c19fe73a28ea46f2262
87,Siddharth Sharma,1488655336.0,Merge branch 'master' into sid,6972ef77f6cb2990bed16d6b2d3d6c7effff596d
88,Siddharth Sharma,1488655259.0,update gradle and android studio,0519cf877c91cd3d398b4a185126136afa110da7
89,Siddharth Sharma,1488335503.0,Add February report,199aafb2b3539464574475534dadab63b0a8d554
90,Siddharth Sharma,1488139474.0,Update README.md,ccde9a0054bd7646a32d0db628cc9236c46eb47e
91,Siddharth Sharma,1488139410.0,Update README.md,2e10518cda56095720a4b17298100a4da6a85ed9
92,Siddharth Sharma,1488139251.0,Update README.md,28b50eb2b4dfd4cb142c57d386dd9cf2febaf312
93,Siddharth Sharma,1488137486.0,Update README with more info,a66516af4dd7b180c249273d958cb5b6a3c637f4
94,Siddharth Sharma,1488065394.0,Some fixes,29c28b6303db57fb21c7a5992fd76fa83155d917
95,Siddharth Sharma,1487879642.0,Resolve conflict,78beab3964112e0aebcb56eee9365947d41a4b41
96,Siddharth Sharma,1487879520.0,change voice enroll to async task,32f4e706bb71b4463230611b9738591a87279428
97,Kaustubh Gondhalekar,1487879463.0,"Merge pull request #58 from SE17GroupH/kg

seperated register API call from main thread",6eaeb5a11c7555cbb0212e99a4780dffa8c766ab
98,KaustubhG,1487879441.0,seperated register API call from main thread,a07db9dd20d595f5f6ea4c839148ee810d6741ea
99,Kaustubh Gondhalekar,1487878702.0,"Merge pull request #57 from SE17GroupH/kg

seperated magic-link email call from main thread",ff8c59df2a459a18bc9f12439f464272230498a2
100,KaustubhG,1487878671.0,seperated magic-link email call from main thread,f3048081d200098422528df012f8b57ae0ab3505
101,Kaustubh Gondhalekar,1487877171.0,"Merge pull request #56 from SE17GroupH/kg

default login in background thread",e8153e5e7123cd92e6d02762250be5d94394a27a
102,KaustubhG,1487877126.0,default login in background thread,eb281b58111e339f7047870059e8e6331912217d
103,Kaustubh Gondhalekar,1487875937.0,"Merge pull request #55 from SE17GroupH/kg

minor changes",317582bec075811313f7e1180ed60c20fa24604d
104,KaustubhG,1487875922.0,minor changes,55698734e9b73ba52e827f36ca20c5bfc340c69e
105,Siddharth Sharma,1487874792.0,Merge branch 'master' into sid,4b1c7673783a4db576f84fc893dd69d74ac0327c
106,Kaustubh Gondhalekar,1487713998.0,"Merge pull request #54 from SE17GroupH/kg

put magic-link login API call on background thread",052192dd96f7c2f049d5b774abc7912b7ca01ad7
107,KaustubhG,1487713956.0,put magic-link login API call on background thread,b5c876edf525e13f5ae9d2f9ac69735e2fefce95
108,Siddharth Sharma,1487650703.0,Merge branch 'master' into sid,70e348ff68b99de8a560cd847c75f0443d1e21a2
109,Kaustubh Gondhalekar,1487646892.0,"Merge pull request #53 from SE17GroupH/kg

minor changes",f2d35f1b6d3de15ff09dfdda36016ee551d5c3a6
110,KaustubhG,1487646858.0,minor changes,4b3e5fcff57b7a91076ac59cca7b2d9a5bc1a0ff
111,Siddharth Sharma,1487645416.0,Merge branch 'master' into sid,24b8dd0fdf5df33841c7b9bdaadb1a1b516afd60
112,Kaustubh Gondhalekar,1487644961.0,"Merge pull request #52 from SE17GroupH/kg

Kg",f13a3a567799d3e8025afc66a0354f70be77211d
113,KaustubhG,1487644855.0,linked api call to login from magic link,8a9733b2ece12a81da0d9948dd3e54ab650d6aed
114,KaustubhG,1487643957.0,parse auth token from magic-url,d9c0da25ea312e034b933a54ed4fd293045f8695
115,Kaustubh Gondhalekar,1487642891.0,"Merge pull request #51 from SE17GroupH/kg

Kg",a243e9e6cea7a53a95392106d2d9f7f8feb7184d
116,KaustubhG,1487642706.0,link magic link to a new activity,f949f5604ea61ae8d47bcf2bb199e8fea01534b8
117,KaustubhG,1487641813.0,UI mod for homepage,85f7101faf3be47c589c0042b3ad97a3e7c3e9fd
118,KaustubhG,1487627257.0,permission deny crash fixed,6055b72dedd6e18c32b6802f3997987d05c59bbf
119,Siddharth Sharma,1487611885.0,"Fix magic link bug, was using wrong url",102f48a35880c89005287f5db19e00785d4868ad
120,Siddharth Sharma,1487575726.0,Implement magic api call. Remove logout call.,478ad35f3d5fa921dbae0e461d48ae95a3571f26
121,Siddharth Sharma,1487458252.0,Fix email confirmation error bug,2de68c33ca4df30ba068c8b62fdf6fc914acee88
122,Siddharth Sharma,1487457700.0,Fix Error of email not confirmed appearing null.,2f8c54d28a61272f3d6a7a0980edb7aaaf88b99a
123,Siddharth Sharma,1487455149.0,"Merge pull request #49 from SE17GroupH/sid

Sid",70c3c53e1c3bb4ce82172314ef60fa4684e46d2b
124,Siddharth Sharma,1487454946.0,Add Voice instructions and Improve UI layout.,38c5a174114ba2ef7b9a466c27720ff953aa11d6
125,Siddharth Sharma,1487453664.0,Improve voice login functionality. Bug fixes.,e159855d34d675675da0d4dea3706e95a872a495
126,Siddharth Sharma,1487442855.0,Big changes. Implement Speaker recognition api calls and functionality. Fix many things.,be5f76e7677d2ff22910312aa2a6f0679b9dbb70
127,Siddharth Sharma,1487377470.0,"Merge pull request #43 from SE17GroupH/sid

Sid",c003233edebb17cac0956fa549f46568ce15023b
128,Siddharth Sharma,1487377211.0,Merge branch 'master' into sid,e8bbbe3d31e07e3dbaf044c7e286209fcb7e2cea
129,Siddharth Sharma,1487376918.0,Refactor code. Add some UI views,c2cbb6673c54bf3a81a31e82307ccf689cee5152
130,Kaustubh Gondhalekar,1487376891.0,"Merge pull request #42 from SE17GroupH/kg

added voice recording for enrollment and verification",7fbd2a5c4a4cef6212104f60b0a79112f44fe1d5
131,KaustubhG,1487375159.0,added voice recording for enrollment and verification,9998574defa5c8df9048c0fdad95d786884b9093
132,Siddharth Sharma,1487374185.0,Move secret keys to SubKey.java and add to gitignore. Resolve merge conflicts,9f42d0b50d0b3b81b22f751630de37fc32563a9e
133,Kaustubh Gondhalekar,1487372940.0,"Merge pull request #41 from SE17GroupH/kg

added voice recording",8163d48784e11a9d826d9c7c9392dc710a3f5c43
134,Siddharth Sharma,1487372936.0,ignore SubKey.java that contains api keys to Microsoft Congitive Speaker Recognition service,18ba533767900e7089cdbac060a8759992341acb
135,KaustubhG,1487372901.0,added voice recording,be5e50ab7ff27d1b7b9bf9cb84065eb0106c1175
136,Siddharth Sharma,1487372588.0,change gitignore,a7576fab95f72a71ac4b04f4c3397c86931b3104
137,Siddharth Sharma,1487371202.0,merge master branch. resolve small conflict,467a253e827110e9ccbe133f220b4f302df94b45
138,Siddharth Sharma,1487370666.0,Commit gitignore,b9a3d6b5b67acd62dc3c4b1cf0ba0a43c6c0ebf7
139,Siddharth Sharma,1487370645.0,Small changes,52c504479722ec8dc931c7b9d7e941a936ebe44d
140,Siddharth Sharma,1487369906.0,add small api call,b13ac751e18104cce782037e42e96545196e0dfa
141,Kaustubh Gondhalekar,1487367973.0,"Merge pull request #40 from SE17GroupH/kg

Kg",52147eec7d48bddfdaa2d4c9429a31ba5b32634b
142,KaustubhG,1487367674.0,solve merge conflict,08a25944dac25323663de31674d6017c837727b7
143,KaustubhG,1487362310.0,minor changes,8bc45ba8d1bb4b251f7c898e0e391c8cddfe4f54
144,Siddharth Sharma,1487307720.0,"Merge pull request #39 from SE17GroupH/sid

Improve a bunch of things",ecf074c36f23bd0e3201271b4d57b8812bc4ac40
145,Siddharth Sharma,1487307455.0,"Implement logout api call. Save email, password at login. Improve validation at registration.",a28553473170d4cf22054e8215e4cd8558d40b5c
146,Siddharth Sharma,1487286582.0,"Merge pull request #32 from SE17GroupH/sid

Add Registration and Logging plus Fingerprint auth enhancements.",389a5b30523c12a37ea5cb07ea3c2a30c2ad1057
147,Siddharth Sharma,1487286428.0,"Add validation for email and password. Remove auth mode choosing at register page. Remove logging in from registration page, now redirect to login page.",6f374a669a8ae60b3cfaed859a36991122e3253b
148,Siddharth Sharma,1487274382.0,"After fingerprint auth Redirect to Profile activity. Refactor code, delete unecessary files. Add some resource files",b83f612ced187bba7222dd746cf20d8e450882fb
149,Siddharth Sharma,1487268386.0,Parse JSON response and display error messages.,1afa74b02b8787b288a146090372a78a4f12c6e5
150,KaustubhG,1487206870.0,added URL linking skeleton,44e621379e25a3aaee072b6c4214b120647862c5
151,Siddharth Sharma,1487146432.0,Switch to okHttp library. Working Json response. Create helper class.Clean up code.,c92667b8286bcf3a0dc041a900a0628deb57b53d
152,Siddharth Sharma,1487137633.0,"Add Register functionality to server with error checking. Add Toast notifications, support library for parsing, clean up code.",159bd8cb9478f98b04df51f81dfe37de5d57d9b0
153,Siddharth Sharma,1487111618.0,Add login by entering username and password and indicate if login success or fail,455930e501069ddd76ef5521497db1c40b4781ee
154,Siddharth Sharma,1487096724.0,"Merge pull request #25 from SE17GroupH/sid

Add local Fingerprint authentication in Android app",b34ccebd98cbb13f9be08a921293a07cd0ee2f5d
155,Siddharth Sharma,1487095517.0,"Add local Fingerprint auth functionality

Add authentication code to FingerprintAuthActivity, with layout, drawables, and a helper class. Force Close on phones which don't have fingerprint hardware.",f5175d635be4393c875759e87ccb96821a89ecd7
156,Siddharth Sharma,1486678907.0,Add build dependency for FingerprintAuthHelper. Add fingerpring code to Activity.,4463ea7c91ea45182d1c3ad48c47b10099430f16
157,Harold Chen,1486672771.0,"Merge pull request #22 from SE17GroupH/devarenacn

Move server project to seperate repo",ee2aeb171c0b919a4610af8047178f25248eb84c
158,Harold Chen,1486672729.0,Move server project to seperate repo,6c5bf77f6ef67ad4f3a0cac74703951f48de29f4
159,Harold Chen,1486661928.0,"Merge pull request #20 from SE17GroupH/devarenacn

Basic registration with Devise using RoR",0c487537deb043754632ce2a5e5b5eb6f919f162
160,Harold Chen,1486660571.0,Basic registration with Devise using RoR,3d88e10cb4efb2f951b2af6dbf7aa60453842c54
161,Harold Chen,1486659641.0,"Merge pull request #19 from SE17GroupH/kg

Merged!",006bebb33e1094a14e866bae9d2d89910b70aa2a
162,KaustubhG,1486656765.0,created basic app flow,51763c66e266f512255ff07a29c1c28b4b6c9ca3
163,KaustubhG,1486652608.0,created layouts for basic app-flow,e9fbfa80f070e228fd9967f6a179ca6f53fafa99
164,Kaustubh Gondhalekar,1486589307.0,"Merge pull request #13 from SE17GroupH/kg

test branch commit",6eee886f7b5d0c86d15732e7fe784381881f7cd5
165,KaustubhG,1486589199.0,test branch commit,ea08beef99e467386021010ccf21ab092b86d7bf
166,KaustubhG,1486585917.0,base project,378b4e837a7e3c56ee8ce3ac0e13371bf164189a
167,Harold Chen,1486571620.0,Update README.md,5aa08111588d582540130a6f45ed8ce23b29209e
168,Harold Chen,1486571030.0,Initial commit,bd89671496fdc8b9aa586430f768e8bc96f0c31d
